#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
die Abteilung, -en;die Abteilung;department;відділ;Unsere IT-Abteilung kümmert sich um die gesamte Cloud-Infrastruktur.
der Arbeitgeber, - / die Arbeitgeberin, -nen;der Arbeitgeber;employer;роботодавець/-иця;Mein neuer Arbeitgeber bietet viele Remote-Work-Optionen für Softwareentwickler an.
das Asylverfahren, -;das Asylverfahren;asylum procedure;процедура надання притулку;Wir unterstützen geflüchtete IT-Spezialisten während ihres Asylverfahrens bei der Jobsuche.
die Ausbildung, -en;die Ausbildung;apprenticeship, vocational training;професійне навчання;Ich mache eine Ausbildung zum Fachinformatiker für Systemintegration.
auf|fallen (fällt auf, fiel auf, ist aufgefallen);auf|fallen;to stand out, to be noticeable;впадати в око;Im Code-Review ist mir sofort aufgefallen, dass eine Sicherheitslücke besteht.
(eine Prüfung) bestehen (besteht, bestand, hat bestanden);bestehen;to pass (an exam);скласти (іспит);Er hat die Zertifizierungsprüfung zum AWS Certified Solutions Architect bestanden.
das Berufsinformationszentrum (BIZ);das Berufsinformationszentrum;career information center;центр профорієнтації;Im BIZ gibt es spezielle Beratungen für Quereinsteiger in die IT-Branche.
der Betrieb, -e;der Betrieb;company, business;підприємство;Unser Betrieb hat vor kurzem auf eine Microservices-Architektur umgestellt.
sich bewerben (bewirbt sich, bewarb sich, hat sich beworben);sich bewerben;to apply;подавати заявку (на роботу);Ich bewerbe mich um die Stelle als Senior Java Developer bei diesem Startup.
jdn. ein|stellen (stellt ein, stellte ein, hat eingestellt);ein|stellen;to hire someone;наймати когось;Wir möchten diesen Monat drei neue Backend-Entwickler einstellen.
das E-Learning (Sg.);das E-Learning;e-learning;електронне навчання;E-Learning-Plattformen wie Coursera sind ideal, um neue Programmiersprachen zu lernen.
der E-Learning-Kurs, -e;der E-Learning-Kurs;e-learning course;курс дистанційного навчання;Ich belege einen E-Learning-Kurs zum Thema "Deep Learning mit Python".
der Facharbeiter, - / die Facharbeiterin, -nen;der Facharbeiter;skilled worker;кваліфікований робітник/-ця;In der Halbleiterfertigung werden hochqualifizierte Facharbeiter benötigt.
der Gabelstapler, -;der Gabelstapler;forklift;навантажувач;Wir programmieren die Software für die automatische Steuerung der Gabelstapler im Logistikzentrum.
die Geschäftsführung, -en;die Geschäftsführung;management;керівництво;Die Geschäftsführung hat das Budget für die Cybersicherheit verdoppelt.
sich informieren über (+ Akk.) (informiert sich, informierte sich, hat sich informiert);sich informieren über;to inform oneself;інформуватися;Ich informiere mich täglich über die neuesten Frameworks und Bibliotheken.
das Lager, -;das Lager;warehouse, storage;склад;Das digitale Lager verwaltet Tausende von Hardware-Komponenten für unser Rechenzentrum.
die Lagerlogistik (Sg.);die Lagerlogistik;warehouse logistics;складська логістика;Ein effizientes ERP-System optimiert die gesamte Lagerlogistik des Hardware-Händlers.
der Mitarbeiter, - / die Mitarbeiterin, -nen;der Mitarbeiter;employee;співробітник/-ця;Jeder Mitarbeiter erhält einen leistungsstarken Laptop für die Softwareentwicklung.
jdm. etw. raten (rät, riet, hat geraten);jdm. etw. raten;to advise someone;радити комусь щось;Der Senior-Entwickler riet mir, Python als erste Programmiersprache zu lernen.
der Schulabschluss, "-e;der Schulabschluss;school-leaving certificate;шкільний атестат;Nach meinem Schulabschluss möchte ich Informatik an einer Technischen Universität studieren.
