#separator:;
#html:true
#columns:German;English;Ukrainian;Example
Abschied nehmen von (+ Dat.);to say goodbye to;прощатися з;Wir müssen heute Abschied von unserem alten Server nehmen.
die Absicht haben;to intend / have the intention;мати намір;Ich habe die Absicht, mich morgen für den AWS-Kurs anzumelden.
eine Absprache treffen mit (+ Dat.);to make an agreement with;домовитися з;Wir haben eine Absprache mit dem Design-Team getroffen.
eine Ahnung haben von (+ Dat.);to have an idea of;мати уявлення про;Hast du eine Ahnung, warum die DB-Verbindung so langsam ist?
eine Andeutung machen;to hint at / make an allusion;натякати, робити натяк;Der Product Owner machte eine Andeutung bezüglich des neuen Features.
Anerkennung finden bei/für;to find recognition / be appreciated;отримати визнання, знайти визнання;Sein Refactoring-Entwurf fand große Anerkennung beim gesamten Team.
einen Anfang machen;to make a start;покласти початок, зробити перший крок;Wer macht den Anfang und fängt mit dem Schreiben der API-Tests an?
eine Anforderung erfüllen;to meet a requirement;відповідати вимогам, виконувати вимогу;Das neue Tool muss alle Sicherheitsanforderungen des Kunden erfüllen.
ein Angebot machen;to make an offer;робити пропозицію;Wir sollten dem Kunden für die Support-Stunden ein neues Angebot machen.
ein Angebot unterbreiten;to submit an offer;подавати пропозицію (офіційно);Der IT-Dienstleister hat uns ein attraktives Angebot unterbreitet.
etwas im Angebot haben;to have something on offer;мати в асортименті, пропонувати;Unser Cloud-Provider hat viele KI-Dienste im Angebot.
etwas in Anspruch nehmen;to make use of / take up;скористатися (чимось), вимагати (часу/зусиль);Das Schreiben der Dokumentation wird viel Zeit in Anspruch nehmen.
einen Antrag stellen auf (+ Akk.);to apply for / submit an application;подавати заяву на;Er hat einen Antrag auf ein neues MacBook Pro gestellt.
eine Antwort geben;to give an answer;дати відповідь;Kannst du mir bitte eine kurze Antwort auf meine Slack-Nachricht geben?
eine Anweisung geben;to issue an instruction;давати вказівку, інструктувати;Der Lead Architect hat genaue Anweisungen zur Verwendung der API gegeben.
zur Anwendung kommen;to be applied / used;знаходити застосування;Das neue Pattern wird im nächsten Sprint zur Anwendung kommen.
einen Auftrag erteilen;to place an order / assign a task;давати замовлення, доручати роботу;Die Geschäftsführung hat der IT-Firma den Auftrag erteilt.
in Auftrag geben;to commission / order;замовляти (комусь виконання роботи);Wir haben das Sicherheits-Audit bei einer externen Firma in Auftrag gegeben.
aus den Augen verlieren;to lose sight of;втрачати з виду;Wir dürfen das eigentliche Ziel des Refactorings nicht aus den Augen verlieren.
zum Ausdruck bringen;to express / voice;висловлювати, давати вираження;Der Product Owner hat seine Zufriedenheit zum Ausdruck gebracht.
zum Ausdruck kommen;to be expressed;виражатися, знаходити вияв;Die Bedenken des DevOps-Engineers sind im Meeting deutlich zum Ausdruck gekommen.
Auskunft geben;to provide information;надавати інформацію;Der Support-Mitarbeiter kann Auskunft über den Serverstatus geben.
eine Äußerung machen;to make a comment;висловлюватися;Er wollte keine Äußerung zu den Gerüchten über das System-Update machen.
Beachtung finden bei/für;to receive attention;привертати увагу, користуватися увагою;Die neue Open-Source-Bibliothek findet viel Beachtung bei Entwicklern.
Beachtung schenken (+ Dat.);to pay attention to;приділяти увагу (чомусь);Wir müssen den Fehlermeldungen in den Logs mehr Beachtung schenken.
einen Beitrag leisten für/zu;to make a contribution to;вносити вклад у;Jeder Entwickler leistet einen Beitrag zur Verbesserung der Codequalität.
Berücksichtigung finden bei/wegen;to be taken into account;бути врахованим;Deine UI-Vorschläge werden bei der nächsten Design-Phase Berücksichtigung finden.
Bescheid geben (+ Dat.);to let someone know;повідомляти (когось), давати знати;Gib mir bitte Bescheid, sobald der PR gemergt ist.
eine Bestellung aufgeben;to place an order;робити замовлення (про купівлю);Ich habe eine Bestellung für neue Serverkomponenten aufgegeben.
in Betracht kommen;to be considered / possible;братися до уваги, бути можливим;Diese alte Library kommt für unser modernes Projekt nicht in Betracht.
in Betracht ziehen;to consider / take into account;брати до уваги, розглядати;Wir sollten einen Wechsel zu Postgres in Betracht ziehen.
in Betrieb nehmen;to put into operation;вводити в експлуатацію;Morgen werden wir den neuen Kubernetes-Cluster in Betrieb nehmen.
Bezug nehmen auf (+ Akk.);to refer to;посилатися на, стосуватися (чогось);Ich beziehe mich auf das Jira-Ticket, das gestern erstellt wurde (Bezug nehmen).
im Blick haben;to keep an eye on;мати на увазі, контролювати;Der Projektmanager hat alle Deadlines fest im Blick.
die Daumen drücken für (+ Akk.);to keep one's fingers crossed for;тримати кулаки за;Ich drücke dir die Daumen für das morgige Live-Demo beim Kunden.
zur Debatte stehen;to be up for debate;стояти на порядку денному, обговорюватися;Die Einführung von Vue 3 steht heute zur Debatte.
eine Diskussion führen über/mit;to have a discussion about/with;вести дискусію про/з;Wir haben eine lange Diskussion über Microservices geführt.
zur Diskussion stellen;to put up for discussion;виносити на обговорення;Ich möchte diesen Architektur-Entwurf im Team zur Diskussion stellen.
unter Druck setzen;to put under pressure;чинити тиск на;Der Kunde versucht, uns mit der Deadline unter Druck zu setzen.
einen Eindruck bekommen von (+ Dat.);to get an impression of;скласти враження про;Ich konnte bereits einen guten Eindruck vom neuen Framework bekommen.
Eindruck machen auf (+ Akk.);to make an impression on;справляти враження на;Das neue, performante Design hat großen Eindruck auf den Kunden gemacht.
Einfluss nehmen auf (+ Akk.);to influence / affect;впливати на;Die Ladezeit nimmt großen Einfluss auf die User-Zufriedenheit.
eine Entscheidung treffen;to make a decision;приймати рішення;Wir müssen bald eine Entscheidung bezüglich des Hostings treffen.
zur Entscheidung bringen;to bring to a decision;доводити до прийняття рішення;Wir müssen diese Diskussion endlich zur Entscheidung bringen.
zur Entscheidung stellen;to put up for decision;ставити на вирішення;Der Lead Developer stellt das UI-Konzept zur Entscheidung.
eine Erfahrung machen mit (+ Dat.);to make an experience with;мати досвід роботи з;Mit dieser Datenbank haben wir bisher nur gute Erfahrungen gemacht.
in Erfahrung bringen;to find out / learn;дізнатися, з'ясувати;Kannst du bitte in Erfahrung bringen, wann die API wieder online ist?
in Erfüllung gehen;to come true;здійснюватися, справджуватися;Mein Wunsch nach 100% Homeoffice ist in Erfüllung gegangen.
eine Erklärung finden für (+ Akk.);to find an explanation for;знайти пояснення для;Wir konnten noch keine logische Erklärung für diesen Absturz finden.
Ersatz leisten für (+ Akk.);to provide compensation/replacements for;відшкодовувати збитки, замінювати;Die Hardware-Firma muss Ersatz für den defekten Server leisten.
Feedback bekommen;to get feedback;отримувати зворотний зв'язок;Nach der Präsentation haben wir sehr konstruktives Feedback bekommen.
Feedback geben (+ Dat.);to give feedback;давати зворотний зв'язок;Wir sollten den Junior-Entwicklern regelmäßig Feedback geben.
einen Fehler beheben;to fix a bug/error;виправляти помилку;Der Bugfix hat den schwerwiegenden Fehler behoben.
zur Folge haben;to result in / entail;мати наслідком;Das Deaktivieren der Firewall kann große Sicherheitsrisiken zur Folge haben.
eine Forderung stellen;to make a demand;висувати вимогу;Der Betriebsrat stellt eine Forderung nach flexibleren Arbeitszeiten.
eine Frage stellen;to ask a question;ставити запитання;Darf ich dazu im GitHub-Issue eine Frage stellen?
eine Freude bereiten (+ Dat.);to give pleasure to / make happy;приносити радість;Der Release des neuen Tools hat dem Kunden eine große Freude bereitet.
ins Geschäft kommen mit (+ Dat.);to do business with;налагоджувати бізнес-зв'язки з, домовлятися;Wir hoffen, mit dem großen E-Commerce-Konzern ins Geschäft zu kommen.
ein Gespräch führen über/mit;to carry out a conversation about/with;вести розмову про/з;Ich habe heute ein Gespräch mit dem IT-Leiter geführt.
ins Gespräch bringen;to bring into discussion / suggest;вводити в обговорення, пропонувати;Er hat das Thema Cloud-Sicherheit erneut ins Gespräch gebracht.
den Glauben verlieren;to lose faith;втрачати віру;Ich verliere langsam den Glauben an diesen unzuverlässigen Service.
etwas im Griff haben;to have something under control;тримати під контролем;Keine Sorge, unser Team hat die Serverlast voll im Griff.
etwas in den Griff bekommen;to get something under control;взяти під контроль, упоратися з;Wir müssen das Memory-Leak dringend in den Griff bekommen.
auf den Grund gehen (+ Dat.);to get to the bottom of;докопатися до суті;Wir müssen der Ursache dieses Netzwerkfehlers auf den Grund gehen.
jemanden vor eine Herausforderung stellen;to challenge someone;ставити когось перед складним завданням;Das neue Datenbankschema stellt uns vor eine große Herausforderung.
Hilfe leisten;to render assistance / help;надавати допомогу;Der Support konnte uns bei der Migration schnell Hilfe leisten.
zu Hilfe nehmen;to call upon / use for help;брати на допомогу;Wir sollten ChatGPT für das Schreiben der Regex zu Hilfe nehmen.
die Hoffnung aufgeben;to give up hope;втрачати надію, залишати надію;Wir haben die Hoffnung noch nicht aufgegeben, den Bug heute zu fixen.
sich Hoffnung machen;to hope / have hopes;сподіватися, плекати надію;Er macht sich Hoffnung auf eine baldige Beförderung zum Senior.
auf eine Idee kommen;to come up with an idea;додуматися до ідеї, прийти в голову;Wie bist du auf die Idee gekommen, GraphQL zu nutzen?
infrage kommen;to be possible / eligible;братися до уваги, підходити;Diese veraltete Bibliothek kommt für uns nicht mehr infrage.
infrage stellen;to question / challenge;ставити під сумнів;Wir sollten die aktuelle Deployment-Pipeline infrage stellen.
Interesse wecken an/für;to arouse interest in;пробуджувати інтерес до;Das neue Feature hat großes Interesse bei den Usern geweckt.
Interesse zeigen an/für;to show interest in;виявляти інтерес до;Viele Investoren zeigen großes Interesse an unserer SaaS-Lösung.
in Kenntnis setzen von (+ Dat.);to inform of;повідомляти про, ставити до відома;Bitte setze das Team rechtzeitig vom Wartungstermin in Kenntnis.
zur Kenntnis nehmen;to take note of;приймати до відома;Ich habe deine Anmerkungen im Pull Request zur Kenntnis genommen.
Kontakt aufnehmen mit (+ Dat.);to contact / get in touch with;вступати в контакт з, зв'язатися з;Der Support wird morgen Kontakt mit dem Kunden aufnehmen.
Klarheit gewinnen über (+ Akk.);to gain clarity about;отримати ясність щодо, розібратися;Wir müssen Klarheit über die genauen Systemanforderungen gewinnen.
Kontakt halten;to keep in touch;підтримувати зв'язок;Wir halten über Slack und Teams engen Kontakt.
